
78310. Place: Zamość, Year: 1748  
13001. Place: Paris, Year: 1865
59760. Place: -, Year: -
11497. Place: -, Year: -
19338. Place: Kijów, Year: 1884
97452. Place: Kraków, Year: 1871
45445. Place: Wiedeń, Year: 1812  
18332. Place: Stryj, Year: 1878  
177343. Place: Lipsk, Year: 1685  
106915. Place: -, Year: -  
143428. Place: -, Year: -  
191370. Place: -, Year: -  
191382. Place: -, Year: -  
132444. Place: -, Year: 1698  
10877. Place: Kraków, Year: 1889  
61437. Place: Buffalo, Nowy Jork, Year: -  
9497. Place: -, Year: -  
1258. Place: Wilno, Year: 1817  
27436. Place: -, Year: -  
210548. Place: -, Year: -  
78085. Place: Kraków, Year: 1670  
75017. Place: Kraków, Year: 1558  
219095. Place: Lipsk, Year: 1732  
208342. Place: Kraków, Year: 1598  
16794. Place: Warszawa, Year: 1892  
2382. Place: Kraków, Year: -  
108898. Place: Gorycja, Year: 1774  
119162. Place: Kraków, Year: 1565  
17292. Place: -, Year: -  
200527. Place: Kijów, Year: 1629  
42293. Place: -, Year: -  
110903. Place: Wiedeń, Year: 1514  
79080. Place: -, Year: 1777  
7115. Place: Warszawa, Year: 1833  
89547. Place: Paryż, Year: -  
89995. Place: Warszawa, Year: 1892  
56841. Place: -, Year: -  
48805. Place: -, Year: -  
50512. Place: -, Year: -  
59699. Place: -, Year: -  
46142. Place: -, Year: -  
60016. Place: Kalisz, Year: 1775  
102262. Place: -, Year: -  
111577. Place: -, Year: -  
22204. Place: Petersburg, Year: 1880  
65474. Place: Warszawa, Year: 1872  
203931. Place: Brunsberg, Year: -  
156384. Place: Warszawa, Year: 1775  
18625. Place: Gdańsk, Year: 1654  
173013. Place: -, Year: -  
98602. Place: Warszawa, Year: 1863  
150389. Place: Nancy, Year: 1733  
190428. Place: -, Year: 1786  
74523. Place: -, Year: -  
125006. Place: -, Year: -  
109204. Place: Kraków, Year: 1874
60038. Place: Warszawa, Year: 1891
55743. Place: -, Year: -
49232. Place: -, Year: 1736
41778. Place: Warszawa, Year: 1890
142505. Place: Amsterdam, Year: 1657
67018. Place: Lwów, Year: 1876
159619. Place: -, Year: 1792
117185. Place: -, Year: -
88883. Place: -, Year: -
219967. Place: -, Year: 1792
220614. Place: -, Year: -
27052. Place: -, Year: -
93069. Place: -, Year: -
188626. Place: Poznań, Year: 1719
176295. Place: -, Year: -
108226. Place: -, Year: 1795
2188. Place: -, Year: -
211652. Place: -, Year: 1734
82394. Place: -, Year: -
167121. Place: Zamość, Year: 1729
64869. Place: -, Year: -
20265. Place: Kraków, Year: 1899
93539. Place: Kraków, Year: 1899
201923. Place: -, Year: -
51798. Place: -, Year: -
25213. Place: -, Year: -
92920. Place: -, Year: -
62470. Place: Wrocław, Year: -
125366. Place: -, Year: -
26825. Place: -, Year: -
123432. Place: -, Year: -
212936. Place: Wilno, Year: 1584
18043. Place: Rostock, Year: 1577
10453. Place: -, Year: -
17318. Place: Stanisławów, Year: 1848
217001. Place: -, Year: -
2975. Place: Warszawa, Year: 1891
194605. Place: Stockholm, Year: 1590
44097. Place: Amsterdam, Year: 1774
20534. Place: Kraków, Year: 1883
92605. Place: -, Year: -
124442. Place: Warszawa, Year: 1652
68843. Place: -, Year: -
199722. Place: Gdańsk, Year: 1617
199237. Place: -, Year: -
214350. Place: -, Year: 1784
74651. Place: Warszawa, Year: 1832
166627. Place: Warszawa, Year: 1747
126974. Place: -, Year: -
53705. Place: -, Year: -
128513. Place: -, Year: -
118371. Place: -, Year: -
183095. Place: Wilno, Year: 1763
19746. Place: Warszawa, Year: 1807
162019. Place: Racibórz, Year: 1617
17913. Place: -, Year: -
103204. Place: Kraków, Year: 1821
197526. Place: Wilno, Year: 1780
69014. Place: -, Year: -
95438. Place: Moskwa, Year: 1843
13612. Place: -, Year: 1866
65810. Place: Warszawa, Year: 1895
131701. Place: -, Year: -
218956. Place: Frankfurt, Year: 1700
86331. Place: Warszawa, Year: 1895
214336. Place: Kraków, Year: 1543
167495. Place: -, Year: -
116381. Place: -, Year: -
20533. Place: -, Year: 1700
146743. Place: -, Year: -
220926. Place: -, Year: -
151711. Place: -, Year: 1766
36339. Place: Kraków, Year: 1891
18752. Place: Warszawa, Year: 1810
77828. Place: -, Year: -
91550. Place: -, Year: -
104551. Place: -, Year: -
30137. Place: -, Year: -
15190. Place: Kraków, Year: 1887
60582. Place: Wilno, Year: 1854
99432. Place: Warszawa, Year: -
100255. Place: -, Year: -
88664. Place: Warszawa, Year: 1687
58237. Place: Poznań, Year: 1877
89396. Place: Wilno, Year: 1790
167082. Place: Lwów, Year: 1742
30429. Place: -, Year: -
169255. Place: Lwów, Year: 1646
48546. Place: Lwów, Year: 1848
219266. Place: -, Year: -
20589. Place: Kraków, Year: 1758
2241. Place: Warszawa, Year: 1683
130880. Place: Madryt, Year: 1656
168723. Place: -, Year: -
201038. Place: -, Year: 1773
152707. Place: Kraków, Year: 1532
140087. Place: Hanower, Year: 1604
214690. Place: -, Year: 1622
62919. Place: Lwów, Year: 1866
155264. Place: Kraków, Year: 1714
63135. Place: Warszawa, Year: 1897  
47538. Place: Lwów, Year: 1784  
43928. Place: -, Year: -  
32661. Place: -, Year: -  
220738. Place: -, Year: -  
18850. Place: Toruń, Year: 1723  
217782. Place: -, Year: -  
83985. Place: Warszawa, Year: 1900  
58566. Place: -, Year: -  
177244. Place: -, Year: -  
83683. Place: -, Year: -  
176633. Place: Moguncja, Year: 1522  
28836. Place: -, Year: -  
195310. Place: Kraków, Year: 1726  
141679. Place: -, Year: 1679  
166490. Place: -, Year: -  
30861. Place: -, Year: -  
92326. Place: -, Year: -  
1070. Place: Petersburg, Year: 1803  
1548. Place: -, Year: 1722  
66492. Place: -, Year: -  
185389. Place: -, Year: -  
191740. Place: -, Year: -  
216676. Place: Gdańsk, Year: 1651  
1661. Place: Warszawa, Year: 1894  
140727. Place: -, Year: -  
82543. Place: -, Year: -  
52660. Place: -, Year: -  
109812. Place: -, Year: -  
85043. Place: Lwów, Year: -  
176003. Place: -, Year: -  
197299. Place: Kijów, Year: 1638  
133052. Place: -, Year: -  
111537. Place: -, Year: -  
72947. Place: -, Year: -  
26695. Place: Warszawa, Year: 1830  
163301. Place: Lesna, Year: 1723  
125989. Place: -, Year: -  
3372. Place: Charków, Year: 1819  
101692. Place: -, Year: -  
145594. Place: -, Year: -  
61202. Place: Lwów, Year: 1891  
184186. Place: -, Year: 1794  
46017. Place: Berlin, Year: 1900  
74328. Place: -, Year: -  
21085. Place: Lwów, Year: -  
110354. Place: -, Year: -  
57788. Place: -, Year: -  
207392. Place: -, Year: -  
158895. Place: -, Year: -
181321. Place: Toruń, Year: 1627  
45414. Place: -, Year: -  
170038. Place: -, Year: 1797  
89657. Place: -, Year: 1657  
195796. Place: -, Year: -  
1480. Place: Żagań, Year: 1765  
44709. Place: Kraków, Year: 1585  
200800. Place: -, Year: -  
163333. Place: -, Year: -  
3097. Place: Lwów, Year: 1864  
163652. Place: Neapol, Year: 1576  
44996. Place: Wiedeń, Year: 1855  
48295. Place: Kalisz, Year: 1774  
160981. Place: Moskwa, Year: 1696  
22505. Place: -, Year: 1792  
39461. Place: -, Year: -  
139294. Place: Warszawa, Year: 1770  
54169. Place: -, Year: -  
11652. Place: Kraków, Year: 1822  
211778. Place: -, Year: -  
217267. Place: Gdańsk, Year: 1657  
48262. Place: -, Year: -  
46797. Place: Kraków, Year: 1608  
64817. Place: Paryż, Year: 1884  
208693. Place: -, Year: 1789  
75703. Place: Warszawa, Year: 1882  
62235. Place: -, Year: 1645  
97349. Place: Starawieś, Year: 1889  
190023. Place: Poznań, Year: 1757  
206515. Place: Warszawa, Year: 1767  
180940. Place: Toruń, Year: 1705  
146164. Place: Zamość, Year: 1704  
77344. Place: Rawicz, Year: 1888  
59282. Place: Kraków, Year: 1891  
71281. Place: Kępno, Year: 1844  
127181. Place: Kraków, Year: 1549  
90892. Place: Warszawa, Year: 1897  
65547. Place: Stuttgart, Year: 1897  
171096. Place: Królewiec, Year: 1735  
21919. Place: Berlin, Year: 1876  
108484. Place: -, Year: -  
167795. Place: -, Year: 1760  
208998. Place: -, Year: -  
61349. Place: -, Year: 1793  
115087. Place: -, Year: -  
24196. Place: -, Year: -  
74357. Place: Siedlce, Year: 1811  
71626. Place: Berlin, Year: 1895  
95968. Place: -, Year: -  
167234. Place: Kraków, Year: 1650
28426. Place: -, Year: -
172987. Place: -, Year: -
132718. Place: Gdańsk, Year: 1751
40438. Place: Warszawa, Year: 1830
57491. Place: Kraków, Year: 1649
196750. Place: -, Year: -
3690. Place: Paryż, Year: 1863
50680. Place: -, Year: -
38433. Place: -, Year: -
201823. Place: -, Year: -
54638. Place: -, Year: -
178659. Place: -, Year: 1773
160767. Place: Gdańsk, Year: 1641
78845. Place: -, Year: -
92534. Place: -, Year: -
195240. Place: Amsterdam, Year: 1651
100671. Place: Wilno, Year: 1839
65926. Place: -, Year: 1900
77353. Place: -, Year: 1724
100106. Place: Kraków, Year: 1899
178248. Place: -, Year: -
81546. Place: Poznań, Year: 1889
90946. Place: Berlin, Year: 1882
91852. Place: Gdańsk, Year: 1647
185231. Place: -, Year: -
11820. Place: Jena, Year: 1888
189034. Place: Rzym, Year: 1702
123330. Place: -, Year: -
153421. Place: Kraków, Year: 1608
180694. Place: -, Year: -
143588. Place: Kraków, Year: 1612
7351. Place: Wiedeń, Year: 1867
89156. Place: -, Year: 1836
85267. Place: Warszawa, Year: 1878
48397. Place: -, Year: 1702
153592. Place: -, Year: -
209506. Place: Kraków, Year: 1595
127451. Place: -, Year: -
17052. Place: Supraśl, Year: 1742
73180. Place: Kraków, Year: 1890
186565. Place: -, Year: -
155979. Place: -, Year: 1650
142199. Place: Warszawa, Year: 1764
30636. Place: -, Year: -
117562. Place: -, Year: 1699
58483. Place: Gorlice, Year: 1604
60151. Place: -, Year: -
140166. Place: Gdańsk, Year: 1647
190402. Place: -, Year: -
205026. Place: -, Year: -
106738. Place: -, Year: -
175403. Place: Kraków, Year: 1556
49686. Place: -, Year: -
67604. Place: Lipsk, Year: 1845
131186. Place: Wilno, Year: 1665
105325. Place: Warszawa, Year: 1898
170621. Place: -, Year: -
44310. Place: -, Year: 1846
92967. Place: -, Year: -
45674. Place: Kolonia, Year: 1885
186621. Place: -, Year: -
82647. Place: Lwów, Year: 1844
91036. Place: Warszawa, Year: 1780
189189. Place: Kraków, Year: 1765
85275. Place: Kraków, Year: 1900
154523. Place: Berlin, Year: 1792
55548. Place: -, Year: -
101120. Place: -, Year: -
184148. Place: Warszawa, Year: 1794
183269. Place: Wilno, Year: 1779
101583. Place: Lwów, Year: 1900
150868. Place: Kraków, Year: 1545
189326. Place: Olomouc, Year: 1661
45853. Place: Warszawa, Year: 1776
206339. Place: -, Year: -
38560. Place: Wrocław, Year: 1861
32927. Place: -, Year: -
150349. Place: -, Year: 1685
159799. Place: -, Year: -
45243. Place: -, Year: -
154372. Place: Kolonia, Year: 1652
205043. Place: -, Year: -
152853. Place: Kalisz, Year: 1642
24896. Place: Lwów, Year: 1900
176954. Place: -, Year: -
40013. Place: Warszawa, Year: 1873
128346. Place: Helmstedt, Year: 1629
210170. Place: -, Year: 1793
24815. Place: -, Year: -
208160. Place: -, Year: -
88659. Place: -, Year: 1864
204023. Place: -, Year: 1791
142533. Place: Warszawa, Year: 1770
178879. Place: -, Year: 1779
95211. Place: Poznań, Year: 1893
125141. Place: -, Year: -
95172. Place: -, Year: -
20733. Place: Warszawa, Year: 1773
103614. Place: -, Year: -
217235. Place: Warszawa, Year: 1763
201339. Place: -, Year: 1538  
158790. Place: -, Year: -  
176097. Place: -, Year: -  
64494. Place: Lwów, Year: 1900  
86422. Place: Warszawa, Year: 1874  
175857. Place: -, Year: -  
175665. Place: -, Year: -  
69867. Place: Warszawa, Year: 1897  
125813. Place: -, Year: -  
76743. Place: Wiedeń, Year: 1769  
1410. Place: Wrocław, Year: 1660  
160275. Place: -, Year: 1778  
49781. Place: Wrocław, Year: -  
70835. Place: Poznań, Year: 1849  
22846. Place: -, Year: -  
26813. Place: -, Year: -  
11183. Place: -, Year: -  
144504. Place: Warszawa, Year: 1788  
34931. Place: Warszawa, Year: 1840  
223260. Place: -, Year: -  
174092. Place: -, Year: -  
213592. Place: Cölln, Year: 1597  
97028. Place: -, Year: -  
27959. Place: -, Year: 1812  
19300. Place: Kraków, Year: 1899  
210339. Place: -, Year: -  
143414. Place: Rzym, Year: 1627  
8572. Place: -, Year: 1805  
47138. Place: Paryż, Year: 1823  
171836. Place: -, Year: -  
16970. Place: -, Year: -  
86634. Place: Warszawa, Year: 1877  
216135. Place: Gdańsk, Year: 1647  
151260. Place: -, Year: -  
95675. Place: -, Year: -  
101445. Place: -, Year: -  
77425. Place: -, Year: -  
23933. Place: Lwów, Year: 1888  
89018. Place: Lwów, Year: 1892  
59115. Place: Paryż, Year: 1898  
133511. Place: -, Year: -  
78389. Place: -, Year: 1735  
45260. Place: Kraków, Year: 1870  
45767. Place: -, Year: -  
144649. Place: -, Year: -  
190559. Place: -, Year: 1764  
141449. Place: Kraków, Year: 1626  
49497. Place: -, Year: 1610  
168490. Place: -, Year: -  
39799. Place: Bruksela, Year: 1839
139253. Place: -, Year: -
146932. Place: Opawa, Year: 1740
5138. Place: Warszawa, Year: 1887
90647. Place: Warszawa, Year: 1883
91914. Place: -, Year: -
99510. Place: Boston, Year: 1872
113171. Place: Kopenhaga, Year: 1886
222084. Place: -, Year: -
74605. Place: Kraków, Year: 1608
187651. Place: Warszawa, Year: 1785
109102. Place: -, Year: -
191341. Place: Oliva, Year: 1690
63493. Place: -, Year: -
15144. Place: Ratyzbona, Year: 1877
20612. Place: Kraków, Year: 1758
63597. Place: -, Year: -
69027. Place: -, Year: -
26487. Place: -, Year: -
130578. Place: -, Year: -
33960. Place: -, Year: 1848
19357. Place: Warszawa, Year: 1876
180170. Place: Kraków, Year: 1697
144990. Place: Montpellier, Year: 1740
167906. Place: Warszawa, Year: 1776
104490. Place: Warszawa, Year: 1830
216454. Place: Gdańsk, Year: 1648
79907. Place: Warszawa, Year: 1845
191083. Place: Kraków, Year: 1538
129670. Place: Zamość, Year: 1771
57880. Place: Kraków, Year: 1697
50519. Place: Kraków, Year: 1634
10703. Place: Warszawa, Year: 1828
189762. Place: Kalisz, Year: 1690
113070. Place: Petersburg, Year: 1899
216392. Place: -, Year: -
7136. Place: Warszawa, Year: 1895
144342. Place: -, Year: -
173182. Place: Wilno, Year: 1758
203089. Place: Wittenberg, Year: 1766
10054. Place: Lyon, Year: 1832
51728. Place: -, Year: -
109218. Place: Kraków, Year: 1661
111439. Place: -, Year: -
5016. Place: Paryż, Year: 1829
96143. Place: Kraków, Year: -
184673. Place: -, Year: 1601
944. Place: Kraków, Year: 1660
206381. Place: -, Year: -
81575. Place: -, Year: -
97439. Place: Mińsk, Year: 1857
30472. Place: -, Year: -
197507. Place: -, Year: 1624
63122. Place: -, Year: -
159261. Place: -, Year: -
208136. Place: Kraków, Year: 1605
218859. Place: -, Year: -
132116. Place: Kijów, Year: 1712
150492. Place: -, Year: -
90489. Place: Warszawa, Year: 1747
174147. Place: -, Year: -
148825. Place: -, Year: 1577
147360. Place: -, Year: -
147482. Place: -, Year: -
8737. Place: -, Year: -
212331. Place: Kraków, Year: 1753
156717. Place: -, Year: 1660
83133. Place: -, Year: -
109421. Place: -, Year: 1765
97770. Place: Warszawa, Year: 1864
216644. Place: Gdańsk, Year: 1600
200916. Place: -, Year: -
23441. Place: Kraków, Year: 1893
162757. Place: -, Year: -
129045. Place: -, Year: -
131017. Place: Gdańsk, Year: 1754
60978. Place: Kraków, Year: 1617
114807. Place: -, Year: -
196636. Place: Göteborg, Year: 1704
89164. Place: Warszawa, Year: 1774
109829. Place: Warszawa, Year: 1774
172716. Place: Kolonia, Year: 1746
7159. Place: Warszawa, Year: 1879
160916. Place: Gdańsk, Year: 1654
174265. Place: -, Year: -
217. Place: Gdańsk, Year: 1869
27120. Place: -, Year: -
88651. Place: Warszawa, Year: 1860
2128. Place: Warszawa, Year: 1879
117985. Place: Wrocław, Year: 1778
63240. Place: -, Year: -
113903. Place: -, Year: -
90269. Place: -, Year: -
66044. Place: Wiedeń, Year: 1893
91202. Place: Wilno, Year: 1830
2246. Place: Warszawa, Year: 1880
29009. Place: -, Year: -
186456. Place: Rzym, Year: 1689
141022. Place: -, Year: -
51362. Place: -, Year: -
148425. Place: Rzym, Year: 1707
44383. Place: Halle a. S., Year: 1890  
33478. Place: -, Year: -  
182609. Place: -, Year: -  
1513. Place: -, Year: -  
98222. Place: -, Year: -  
51051. Place: Petersburg, Year: 1871  
90638. Place: -, Year: 1720  
119253. Place: -, Year: -  
123510. Place: Halle, Year: 1763  
49036. Place: -, Year: -  
203544. Place: Warszawa, Year: 1791  
94949. Place: Friburgi Brisgoviae, Year: 1813  
13013. Place: Wrocław, Year: 1883  
213836. Place: -, Year: 1656  
148605. Place: Gross-Pohlen, Year: 1693  
126918. Place: Częstochowa, Year: 1761  
198850. Place: -, Year: -  
141735. Place: Kraków, Year: 1580  
29645. Place: -, Year: -  
524. Place: Toruń, Year: 1700  
41344. Place: Kraków, Year: 1896  
84061. Place: -, Year: -  
166071. Place: Warszawa, Year: 1767  
174460. Place: -, Year: -  
59597. Place: -, Year: -  
150672. Place: -, Year: 1734  
203831. Place: Amsterdam, Year: -  
156710. Place: Gdańsk, Year: 1659  
41244. Place: -, Year: -  
59928. Place: -, Year: 1646  
43034. Place: -, Year: -  
88145. Place: -, Year: -  
191841. Place: -, Year: -  
962. Place: Lwów, Year: 1752  
215680. Place: Gdańsk, Year: 1666  
10195. Place: Lwów, Year: 1895  
217926. Place: -, Year: -  
162984. Place: Wrocław, Year: -  
205196. Place: -, Year: -  
22660. Place: -, Year: -  
100083. Place: -, Year: -  
140879. Place: -, Year: -  
115386. Place: -, Year: -  
50349. Place: -, Year: 1627  
189922. Place: -, Year: -  
43622. Place: Norymberga, Year: 1833  
166372. Place: -, Year: 1613  
93. Place: Poznań, Year: 1858  
10886. Place: -, Year: 1885
48082. Place: -, Year: -
162107. Place: Warszawa, Year: 1790
92714. Place: -, Year: -
211830. Place: -, Year: 1676
73611. Place: -, Year: -
186384. Place: -, Year: 1733
191997. Place: -, Year: -
163004. Place: Toruń, Year: 1708
160520. Place: Gdańsk, Year: 1652
119490. Place: -, Year: -
199864. Place: -, Year: -
98486. Place: Paryż, Year: 1888
131162. Place: Wrocław, Year: 1764-1766
41362. Place: Warszawa, Year: 1896
17508. Place: Lwów, Year: 1807
59684. Place: -, Year: -
88576. Place: Rzym, Year: 1673
78104. Place: -, Year: 1650
22680. Place: Gdańsk, Year: 1675
211116. Place: Gdańsk, Year: 1710
143584. Place: Kraków, Year: 1607
69381. Place: Kraków, Year: 1883
158902. Place: Lwów, Year: 1779
31046. Place: -, Year: -
201410. Place: -, Year: -
87239. Place: -, Year: -
169269. Place: -, Year: -
143451. Place: -, Year: -
56012. Place: -, Year: -
94439. Place: -, Year: -
75582. Place: -, Year: -
84018. Place: -, Year: -
36438. Place: Poznań, Year: 1872
12566. Place: Warszawa, Year: 1881
116359. Place: -, Year: -
95529. Place: -, Year: -
94118. Place: Halle, Year: 1826
74038. Place: Moskwa, Year: 1847
154947. Place: Riga, Year: 1687
133020. Place: -, Year: -
218387. Place: Gdańsk, Year: 1680
15335. Place: -, Year: 1851
116431. Place: Kraków, Year: 1609
102622. Place: Brody, Year: 1898
22946. Place: Petropoli, Year: 1857
76412. Place: Kraków, Year: 1566
161009. Place: Gdańsk, Year: 1769
91054. Place: Lwów, Year: 1862
108051. Place: -, Year: -
189019. Place: Lwów, Year: 1759
220646. Place: -, Year: -
161302. Place: -, Year: -
63821. Place: Wilno, Year: 1838
105843. Place: Warszawa, Year: 1885
88982. Place: Kraków, Year: 1522
62275. Place: Kraków, Year: -
197141. Place: Kraków, Year: 1667
167990. Place: -, Year: -
191952. Place: Paryż, Year: 1759
1371. Place: Frankfurt nad Odrą, Year: 1685
62108. Place: Warszawa, Year: 1843
221369. Place: -, Year: -
76556. Place: -, Year: -
76749. Place: Wrocław, Year: -
13890. Place: Warszawa, Year: 1895
71964. Place: -, Year: -
110370. Place: -, Year: 1767
207858. Place: -, Year: 1773
45561. Place: -, Year: -
57534. Place: -, Year: -
150857. Place: -, Year: -
114490. Place: -, Year: -
54573. Place: -, Year: -
91740. Place: Warszawa, Year: -
17118. Place: Lublin, Year: 1790
173693. Place: Lübeck, Year: 1664
108059. Place: -, Year: -
16276. Place: -, Year: -
180399. Place: -, Year: 1792
116417. Place: -, Year: -
165603. Place: Kraków, Year: 1622
141650. Place: Warszawa, Year: 1784
186401. Place: Rzym, Year: 1643
15337. Place: Kraków, Year: 1876
27016. Place: Lwów, Year: 1892
110822. Place: Lipsk, Year: 1593
14116. Place: Warszawa, Year: 1888
149694. Place: Lubcza, Year: -
684. Place: -, Year: -
166266. Place: -, Year: -
210177. Place: -, Year: -
216269. Place: -, Year: -
73184. Place: Kraków, Year: 1883
109551. Place: -, Year: -
18503. Place: -, Year: 1712
22980. Place: -, Year: -
48615. Place: -, Year: -
54871. Place: -, Year: -
87015. Place: Bochnia, Year: -
65278. Place: -, Year: -
184792. Place: Wilno, Year: 1763
117771. Place: Frankfurt nad Odrą, Year: 1610
142192. Place: Warszawa, Year: -
93381. Place: -, Year: -
29114. Place: -, Year: -
44067. Place: -, Year: -
46213. Place: -, Year: -
95190. Place: -, Year: -
102982. Place: Kraków, Year: 1889
70832. Place: Warszawa, Year: 1872
16911. Place: Mediolan, Year: 1863
200964. Place: -, Year: 1775
78771. Place: Warszawa, Year: 1791
94201. Place: Warszawa, Year: 1887
113454. Place: -, Year: 1636
62270. Place: Kraków, Year: 1898
49978. Place: Częstochowa, Year: 1844
199316. Place: Lwów, Year: 1723
1729. Place: Kalisz, Year: 1731
24987. Place: Paryż, Year: 1864
219221. Place: -, Year: -
203698. Place: -, Year: -
38817. Place: Wrocław, Year: -
61113. Place: -, Year: -
72502. Place: Chicago, Year: -
109105. Place: -, Year: -
208119. Place: -, Year: -
156590. Place: -, Year: -
48736. Place: Augsburg, Year: -
58969. Place: -, Year: -
153472. Place: Kraków, Year: -
8466. Place: Warszawa, Year: 1815
60986. Place: Poznań, Year: 1775
106981. Place: -, Year: -
222321. Place: -, Year: -
160307. Place: Wilno, Year: 1645
1678. Place: -, Year: -
194085. Place: Lublin, Year: 1652
51753. Place: -, Year: -
21546. Place: Lwów, Year: 1875
31221. Place: -, Year: -
140569. Place: -, Year: -
55032. Place: -, Year: -
101846. Place: -, Year: -
87365. Place: Lwów, Year: 1895
89643. Place: Poznań, Year: 1888
22271. Place: Kalisz, Year: 1787
71753. Place: Poznań, Year: 1891
75809. Place: -, Year: -
67785. Place: Grudziądz, Year: 1845
68340. Place: -, Year: -
46035. Place: -, Year: -
49727. Place: Lwów, Year: 1839
202813. Place: -, Year: 1783
143590. Place: Kraków, Year: 1616
213531. Place: -, Year: -
178694. Place: -, Year: -
879. Place: Thiene, Year: 1880
32875. Place: -, Year: -
176886. Place: Kraków, Year: 1698
11061. Place: Stryj, Year: -
28366. Place: -, Year: -
133545. Place: Wilno, Year: 1753
139870. Place: Warszawa, Year: 1791
84226. Place: -, Year: -
64151. Place: -, Year: -
88635. Place: -, Year: 1757
48080. Place: Moskwa, Year: 1900
218969. Place: -, Year: 1773
128176. Place: -, Year: -
99578. Place: -, Year: -
96409. Place: -, Year: 1892
42007. Place: Kalisz, Year: 1887
2862. Place: Grodno, Year: 1785
76738. Place: Kraków, Year: 1795
60844. Place: Elbląg, Year: 1647
171611. Place: -, Year: -
90686. Place: Kraków, Year: 1803
200160. Place: Warszawa, Year: 1749
109394. Place: -, Year: -
62758. Place: Berlin, Year: 1830
27228. Place: -, Year: -
153351. Place: -, Year: 1790
183636. Place: Kraków, Year: 1765
178804. Place: -, Year: 1790
91126. Place: Kraków, Year: 1898
215149. Place: -, Year: 1800
184867. Place: -, Year: -
172925. Place: Warszawa, Year: 1772
184050. Place: Kraków, Year: 1643
72816. Place: -, Year: -
180902. Place: Poznań, Year: 1745
115287. Place: -, Year: -
23186. Place: Paryż, Year: 1873
12414. Place: Lwów, Year: 1862
123316. Place: -, Year: -
20809. Place: -, Year: 1735
178502. Place: -, Year: -
111622. Place: Praga, Year: 1882
76560. Place: Warszawa, Year: 1823
24710. Place: -, Year: -
110827. Place: Wilno, Year: 1595
16908. Place: -, Year: -
162357. Place: Brzeg, Year: 1755
130617. Place: -, Year: -
103052. Place: -, Year: -
117986. Place: Kalisz, Year: -
84550. Place: Warszawa, Year: 1872
18091. Place: -, Year: -
59325. Place: -, Year: 1763
144672. Place: -, Year: -
106516. Place: -, Year: -
53372. Place: -, Year: -
89428. Place: Brodnica, Year: 1854
128664. Place: Kraków, Year: 1663
199291. Place: -, Year: 1789
191829. Place: -, Year: -
44677. Place: -, Year: 1740
143310. Place: -, Year: 1792
18546. Place: Wilno, Year: 1652
173212. Place: -, Year: -
159322. Place: -, Year: 1645
71478. Place: -, Year: -
174953. Place: Lublin, Year: 1765
109768. Place: Kraków, Year: 1893
170194. Place: -, Year: -
141645. Place: -, Year: -
19136. Place: Kraków, Year: -
125375. Place: -, Year: -
1117. Place: -, Year: 1835
61490. Place: Kraków, Year: -
83803. Place: Poznań, Year: 1851
52470. Place: -, Year: -
133725. Place: -, Year: 1620
196315. Place: -, Year: -
152712. Place: -, Year: -
10733. Place: Ostrowo, Year: 1852
49278. Place: Gietrzwałd, Year: 1884
153170. Place: Warszawa, Year: 1688
92977. Place: -, Year: -
215526. Place: Gdańsk, Year: 1649
97309. Place: Lwów, Year: 1850
220681. Place: -, Year: -
195655. Place: -, Year: -
152399. Place: -, Year: 1717
119429. Place: Poznań, Year: 1747
182424. Place: -, Year: -
111125. Place: Poznań, Year: 1844
38730. Place: Siedlce, Year: 1812
114893. Place: -, Year: -
106514. Place: -, Year: -
27001. Place: -, Year: -
78294. Place: -, Year: -
123996. Place: Wilno, Year: 1654
12312. Place: Wrocław, Year: -
73228. Place: Wrocław, Year: 1873
27679. Place: -, Year: -
215628. Place: -, Year: -
74947. Place: -, Year: -
36291. Place: Wiedeń, Year: 1807
60240. Place: -, Year: -
142227. Place: -, Year: -
2435. Place: Lwów, Year: 1891
54351. Place: -, Year: -
15562. Place: Mikułów, Year: 1862
175127. Place: -, Year: -
60109. Place: -, Year: -
23416. Place: Wiedeń, Year: 1848
18644. Place: Warszawa, Year: 1843
59868. Place: -, Year: -
9639. Place: -, Year: -
199228. Place: Kraków, Year: 1660
173437. Place: Paris, Year: 1661
43654. Place: -, Year: -
129552. Place: Królewiec, Year: 1765
195514. Place: Poznań, Year: 1590
25089. Place: Wiedeń, Year: 1853
8566. Place: Leszno, Year: 1895
33377. Place: -, Year: -
15965. Place: -, Year: -
220341. Place: -, Year: -
128385. Place: -, Year: 1606
111458. Place: Leiden, Year: 1631
111920. Place: Kraków, Year: 1546
206652. Place: -, Year: 1794
153133. Place: -, Year: 1780
19899. Place: Wilno, Year: 1830
126230. Place: -, Year: 1777
104291. Place: Paris, Year: 1835
223066. Place: Połock, Year: 1793
179367. Place: Kraków, Year: 1752
71660. Place: Wrocław, Year: 1878
40251. Place: Lwów, Year: 1880
102724. Place: Warszawa, Year: 1810
89801. Place: -, Year: -
160191. Place: -, Year: 1769
88696. Place: Kraków, Year: 1844
32801. Place: -, Year: -
162364. Place: -, Year: -
26868. Place: -, Year: -
221498. Place: -, Year: -
104336. Place: Gdańsk, Year: 1882
202625. Place: -, Year: 1653
90017. Place: Warszawa, Year: 1887
133893. Place: -, Year: -
30826. Place: Warszawa, Year: 1879
52001. Place: -, Year: -
41053. Place: -, Year: -
117105. Place: -, Year: -
223039. Place: -, Year: -
